step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:
1,0.5776,0.76,-0.38038,0,0.1
2,1.1552,0.76,-0.07676,0,0.1
3,1.73234,0.7597,-0.0769899,0.0575,0.1
4,2.30934,0.7596,-0.0774397,0.1407,0.1
5,2.88618,0.7595,-0.0778094,0.2294,0.1
6,3.46271,0.7593,-0.0781291,0.3247,0.1
7,4.03879,0.759,-0.0784386,0.3823,0.1
8,4.61472,0.7589,-0.078888,0.4229,0.1
9,5.1902,0.7586,-0.0791573,0.5034,0.1
10,5.76537,0.7584,-0.0795565,0.5052,0.1
11,6.34039,0.7583,-0.0799657,0.5276,0.1
12,6.9148,0.7579,-0.0801846,0.6073,0.1
13,7.48815,0.7572,-0.0803732,0.6858,0.1
14,8.0612,0.757,-0.0809317,0.7014,0.1
15,8.63319,0.7563,-0.0810398,0.7914,0.1
16,9.20442,0.7558,-0.0814478,0.8588,0.1
17,9.77505,0.7554,-0.0818254,0.8862,0.1
18,10.3449,0.7549,-0.0821129,0.9574,0.1
19,10.9136,0.7541,-0.0822899,0.9732,0.1
20,11.4806,0.753,-0.0824365,1.097,0.1
21,12.0472,0.7527,-0.0831028,1.1101,0.1
22,12.6133,0.7524,-0.083449,1.153,0.1
23,13.1783,0.7517,-0.0835949,1.196,0.1
24,13.7429,0.7514,-0.0841005,1.1598,0.1
25,14.3065,0.7507,-0.0842459,1.2424,0.1
26,14.8696,0.7504,-0.0847511,1.2924,0.1
27,15.4321,0.75,-0.0850461,1.2837,0.1
28,15.9923,0.7485,-0.0848304,1.3763,0.1
29,16.5508,0.7473,-0.085204,1.4301,0.1
30,17.1086,0.7469,-0.0858575,1.4238,0.1
31,17.6652,0.746,-0.0859405,1.4815,0.1
32,18.2209,0.7455,-0.0864232,1.5088,0.1
33,18.7746,0.7441,-0.0862952,1.5892,0.1
34,19.3253,0.7421,-0.0862263,1.6557,0.1
35,19.8737,0.7405,-0.0865966,1.7307,0.1
36,20.4211,0.7399,-0.0873065,1.7584,0.1
37,20.9678,0.7394,-0.0876662,1.7848,0.1
38,21.5128,0.7382,-0.0876353,1.8304,0.1
