step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.5776,0.76,-57.2282,0,0.3,0
2,1.1552,0.76,-0.228456,0,0.3,0
3,1.73265,0.7599,-0.221154,0.0291,0.3,0.3
4,2.30949,0.7595,-0.198762,0.2683,0.3,0.3
5,2.88527,0.7588,-0.176279,0.5297,0.3,0.3
6,3.46059,0.7585,-0.206417,0.5432,0.3,0.3
7,4.03439,0.7575,-0.153844,0.7816,0.3,0.3
8,4.60608,0.7561,-0.123651,1.0004,0.3,0.3
9,5.1755,0.7546,-0.115927,1.1771,0.3,0.3
10,5.74266,0.7531,-0.115703,1.43,0.3,0.3
11,6.30726,0.7514,-0.100419,1.643,0.3,0.3
12,6.86886,0.7494,-0.0775436,1.8298,0.3,0.3
13,7.42747,0.7474,-0.0771679,2.0632,0.3,0.3
14,7.98503,0.7467,-0.174682,2.0914,0.3,0.3
15,8.5417,0.7461,-0.182226,2.1816,0.3,0.3
16,9.09375,0.743,0.0059814,2.3475,0.3,0.3
17,9.64016,0.7392,0.0593996,2.5657,0.3,0.3
18,10.1835,0.7371,-0.0676915,2.7723,0.3,0.3
19,10.7259,0.7365,-0.180232,2.9809,0.3,0.3
20,11.2655,0.7346,-0.0823828,3.1959,0.3,0.3
21,11.7986,0.7301,0.113748,3.39,0.3,0.3
22,12.3255,0.7259,0.0922904,3.591,0.3,0.3
23,12.8516,0.7253,-0.177747,3.6506,0.3,0.3
24,13.3772,0.725,-0.200375,3.715,0.3,0.3
25,13.9012,0.7239,-0.140262,3.7764,0.3,0.3
26,14.4228,0.7222,-0.0949685,3.8381,0.3,0.3
27,14.9365,0.7167,0.191466,4.0305,0.3,0.3
28,15.4424,0.7113,0.185373,4.2257,0.3,0.3
29,15.9479,0.711,-0.19725,4.3986,0.3,0.3
30,16.4569,0.7134,-0.400684,4.5877,0.3,0.3
31,16.9651,0.7129,-0.183248,4.6348,0.3,0.3
32,17.4595,0.7031,0.516981,4.7759,0.3,0.3
33,17.939,0.6925,0.579953,4.9664,0.3,0.3
34,18.4173,0.6916,-0.147484,4.9607,0.3,0.3
35,18.902,0.6962,-0.561573,5.0008,0.3,0.3
36,19.388,0.6971,-0.284552,5.0347,0.3,0.3
37,19.8715,0.6954,-0.0892509,5.0266,0.3,0.3
38,20.3419,0.6858,0.505923,5.196,0.3,0.3
39,20.8002,0.677,0.44836,5.3817,0.3,0.3
40,21.2606,0.6785,-0.324793,5.4073,0.3,0.3
41,21.7209,0.6785,-0.212497,5.4073,0.3,0.3
42,22.1725,0.672,0.276752,5.5131,0.3,0.3
43,22.609,0.6607,0.639943,5.6963,0.3,0.3
44,23.043,0.6588,-0.0646843,5.8192,0.3,0.3
45,23.4936,0.6712,-1.14111,5.9015,0.3,0.3
46,23.9509,0.6763,-0.595339,6.0303,0.3,0.3
47,24.39,0.6626,0.818573,5.8846,0.3,0.3
48,24.7977,0.6385,1.60561,6.0516,0.3,0.3
49,25.1919,0.6279,0.596103,5.914,0.3,0.3
50,25.5887,0.6299,-0.349686,5.8591,0.3,0.3
51,26.0092,0.6485,-1.60046,5.9559,0.3,0.3
52,26.4377,0.6546,-0.664987,5.9877,0.3,0.3
53,26.8392,0.6336,1.37362,5.8793,0.3,0.3
54,27.2064,0.606,1.87672,6.0581,0.3,0.3
55,27.5547,0.5901,1.00381,5.8922,0.3,0.3
56,27.91,0.5961,-0.640665,5.728,0.3,0.3
57,28.2991,0.6238,-2.27666,5.7459,0.3,0.3
58,28.7146,0.6446,-1.7656,5.6368,0.3,0.3
59,29.1235,0.6394,0.185773,5.4367,0.3,0.3
60,29.5118,0.6232,1.01545,5.4605,0.3,0.3
61,29.8854,0.6112,0.703862,5.4786,0.3,0.3
62,30.2714,0.6213,-0.956854,5.3348,0.3,0.3
63,30.6881,0.6455,-2.02181,5.4785,0.3,0.3
64,31.1138,0.6525,-0.734103,5.4451,0.3,0.3
65,31.5504,0.6607,-0.826762,5.2571,0.3,0.3
66,31.9718,0.6492,0.653994,5.2989,0.3,0.3
67,32.3645,0.6266,1.49309,5.4336,0.3,0.3
68,32.7491,0.6202,0.27982,5.4082,0.3,0.3
69,33.1255,0.6135,0.304146,5.2237,0.3,0.3
70,33.5035,0.6148,-0.296429,5.2618,0.3,0.3
71,33.8916,0.623,-0.816576,5.4314,0.3,0.3
72,34.2782,0.6218,-0.111402,5.5462,0.3,0.3
73,34.6597,0.6176,0.114672,5.5282,0.3,0.3
74,35.0313,0.6096,0.40189,5.7058,0.3,0.3
75,35.402,0.6089,-0.145583,5.8693,0.3,0.3
76,35.7753,0.611,-0.356396,5.9027,0.3,0.3
77,36.1495,0.6117,-0.25179,5.95,0.3,0.3
78,36.5224,0.6106,-0.116643,5.9809,0.3,0.3
79,36.8927,0.6086,-0.0487257,6.0352,0.3,0.3
80,37.2565,0.6031,0.215243,6.2169,0.3,0.3
81,37.6183,0.6015,-0.0769571,6.2768,0.3,0.3
82,37.98,0.6014,-0.189607,6.32,0.3,0.3
83,38.341,0.6009,-0.159638,6.3783,0.3,0.3
84,38.7006,0.5996,-0.0994276,6.4325,0.3,0.3
85,39.058,0.5979,-0.069097,6.4904,0.3,0.3
86,39.4114,0.5944,0.0667747,6.6095,0.3,0.3
87,39.7605,0.5909,0.0676474,6.7283,0.3,0.3
88,40.1076,0.5891,-0.0594893,6.8991,0.3,0.3
89,40.4546,0.5891,-0.194666,6.9572,0.3,0.3
90,40.7994,0.5872,-0.0517722,7.1307,0.3,0.3
91,41.1363,0.5804,0.317594,7.294,0.3,0.3
92,41.4677,0.5757,0.161331,7.4093,0.3,0.3
93,41.8004,0.5768,-0.274172,7.4733,0.3,0.3
94,42.1392,0.5821,-0.590937,7.6435,0.3,0.3
95,42.4693,0.5745,0.378671,7.8085,0.3,0.3
96,42.7928,0.5688,0.23771,7.821,0.3,0.3
97,43.1136,0.5664,-0.00923961,7.8469,0.3,0.3
98,43.4429,0.5738,-0.746632,8.0071,0.3,0.3
99,43.7773,0.5783,-0.530655,8.1693,0.3,0.3
100,44.0969,0.5653,0.785575,8.0963,0.3,0.3
101,44.387,0.5386,1.82092,8.2401,0.3,0.3
102,44.6594,0.522,1.06825,8.1059,0.3,0.3
103,44.9377,0.5275,-0.591061,7.938,0.3,0.3
104,45.2481,0.5571,-2.40761,7.884,0.3,0.3
105,45.5873,0.5824,-2.09287,7.7835,0.3,0.3
106,45.9342,0.589,-0.69253,7.6096,0.3,0.3
107,46.2623,0.5728,1.02216,7.459,0.3,0.3
108,46.5564,0.5423,2.10365,7.6027,0.3,0.3
109,46.8268,0.52,1.49518,7.4342,0.3,0.3
110,47.0937,0.5167,0.0710146,7.2527,0.3,0.3
111,47.3823,0.5372,-1.7203,7.1476,0.3,0.3
112,47.6894,0.5541,-1.45553,7.275,0.3,0.3
113,47.9958,0.5536,-0.150549,7.1113,0.3,0.3
114,48.2764,0.5297,1.61146,6.9995,0.3,0.3
115,48.5345,0.508,1.45282,7.1432,0.3,0.3
116,48.7875,0.503,0.201669,6.9796,0.3,0.3
117,49.0593,0.5214,-1.55901,6.8665,0.3,0.3
118,49.3386,0.5285,-0.713796,6.9159,0.3,0.3
119,49.6281,0.538,-0.896807,6.7523,0.3,0.3
120,49.9048,0.526,0.719135,6.7083,0.3,0.3
121,50.1496,0.4948,2.16835,6.7563,0.3,0.3
122,50.371,0.4705,1.658,6.63,0.3,0.3
