step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-20.7432,0,0.3,0
2,1.15459,0.7598,-0.229232,1.314,0.3,0
3,1.73189,0.7598,-0.229877,2.628,0.3,0.3
4,2.30918,0.7598,-0.230523,3.066,0.3,0.3
5,2.88648,0.7598,-0.231169,4.38,0.3,0.3
6,3.46378,0.7598,-0.231815,4.818,0.3,0.3
7,4.04107,0.7598,-0.232461,5.256,0.3,0.3
8,4.61852,0.7599,-0.235837,6.57,0.3,0.3
9,5.19566,0.7597,-0.228322,4.8673,0.3,0.3
10,5.7725,0.7595,-0.228908,1.69,0.3,0.3
11,6.34904,0.7593,-0.229493,0.469,0.3,0.3
12,6.92527,0.7591,-0.230079,1.2304,0.3,0.3
13,7.5006,0.7585,-0.219743,1.7231,0.3,0.3
14,8.07486,0.7578,-0.217478,1.0588,0.3,0.3
15,8.64791,0.757,-0.215181,0.5158,0.3,0.3
16,9.21959,0.7561,-0.212854,0.6157,0.3,0.3
17,9.78977,0.7551,-0.210496,0.6793,0.3,0.3
18,10.3583,0.754,-0.208106,0.7006,0.3,0.3
19,10.9248,0.7527,-0.202956,0.7668,0.3,0.3
20,11.4908,0.7523,-0.227776,0.7832,0.3,0.3
21,12.056,0.7518,-0.225565,0.8151,0.3,0.3
22,12.6205,0.7513,-0.226053,0.85,0.3,0.3
23,13.1825,0.7497,-0.196511,0.8936,0.3,0.3
24,13.7419,0.7479,-0.191206,0.9963,0.3,0.3
25,14.2985,0.7461,-0.1913,1.0485,0.3,0.3
26,14.8543,0.7455,-0.224154,1.1001,0.3,0.3
27,15.4071,0.7435,-0.186386,1.1901,0.3,0.3
28,15.9565,0.7412,-0.178226,1.2641,0.3,0.3
29,16.5024,0.7389,-0.178164,1.3563,0.3,0.3
30,17.0434,0.7355,-0.148069,1.5302,0.3,0.3
31,17.5817,0.7337,-0.191353,1.5929,0.3,0.3
32,18.1187,0.7328,-0.216006,1.627,0.3,0.3
33,18.6526,0.7307,-0.183597,1.7514,0.3,0.3
34,19.1812,0.727,-0.139905,1.8722,0.3,0.3
35,19.7079,0.7258,-0.207662,1.9037,0.3,0.3
36,20.2331,0.7247,-0.210648,1.9411,0.3,0.3
37,20.7564,0.7234,-0.205473,1.9875,0.3,0.3
38,21.2735,0.7191,-0.123794,2.1816,0.3,0.3
