step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.5776,0.76,-20.7486,0,0.557883,0
2,1.1552,0.76,-0.229292,0,0.540707,0
3,1.73234,0.7597,-0.221748,0.1293,0.540613,0.5579
4,2.30888,0.7593,-0.219573,0.3778,0.540492,0.5407
5,2.88496,0.759,-0.222828,0.4713,0.540406,0.5406
6,3.45983,0.7582,-0.209733,0.7813,0.540149,0.5405
7,4.03394,0.7577,-0.218327,0.91,0.540005,0.5404
8,4.60532,0.7559,-0.183329,1.2672,0.539414,0.5401
9,5.17429,0.7543,-0.18889,1.5388,0.538919,0.54
10,5.73919,0.7516,-0.159019,1.8619,0.538046,0.5394
11,6.29915,0.7483,-0.142465,2.2353,0.536995,0.5389
12,6.85372,0.7447,-0.133918,2.6277,0.535856,0.538
13,7.40637,0.7434,-0.19626,2.7785,0.535504,0.537
14,7.95708,0.7421,-0.196501,2.8919,0.535099,0.5359
15,8.49745,0.7351,-0.0411259,3.397,0.532761,0.5355
16,9.02831,0.7286,-0.0532952,3.761,0.530721,0.5351
17,9.55655,0.7268,-0.180273,3.8848,0.530264,0.5328
18,10.0825,0.7252,-0.185809,4.0026,0.529769,0.5307
19,10.6023,0.721,-0.114962,4.2415,0.528388,0.5303
20,11.1065,0.7101,0.0686042,4.7179,0.524791,0.5298
21,11.5991,0.7018,0.00029762,5.0735,0.522228,0.5284
22,12.0867,0.6983,-0.128846,5.3004,0.521235,0.5248
23,12.5679,0.6937,-0.0983556,5.6477,0.519761,0.5222
24,13.0347,0.6832,0.0635137,6.1011,0.516309,0.5212
25,13.4927,0.6768,-0.0458416,6.3285,0.514381,0.5198
26,13.9422,0.6704,-0.0444914,6.6586,0.512361,0.5163
27,14.3825,0.6636,-0.0322155,6.991,0.510205,0.5144
28,14.8123,0.6556,0.00202726,7.3207,0.507651,0.5124
29,15.2348,0.65,-0.0616452,7.5385,0.505938,0.5102
30,15.6537,0.6472,-0.136955,7.6464,0.505121,0.5077
31,16.0649,0.6412,-0.0493004,7.8602,0.503155,0.5059
32,16.4662,0.6335,-0.00162885,8.0699,0.500685,0.5051
33,16.8624,0.6295,-0.100864,8.1756,0.499508,0.5032
34,17.2455,0.6189,0.07999,8.4885,0.496008,0.5007
35,17.6134,0.6066,0.129064,8.7974,0.49208,0.4995
36,17.9702,0.5973,0.0503467,9.0962,0.489208,0.496
37,18.3257,0.5962,-0.17123,9.392,0.489051,0.4921
38,18.6829,0.5977,-0.242388,9.4919,0.489591,0.4892
39,19.0481,0.6043,-0.382582,9.7666,0.491803,0.4891
40,19.39,0.5847,0.330201,10.046,0.485009,0.4896
41,19.7098,0.5655,0.324681,10.3098,0.478943,0.4918
42,20.0249,0.5614,-0.0822666,10.3521,0.477991,0.485
43,20.3429,0.5639,-0.261696,10.5333,0.478938,0.4789
44,20.6664,0.5688,-0.328449,10.803,0.48055,0.478
45,20.9846,0.5641,-0.0683189,11.0496,0.47885,0.4789
46,21.2865,0.5494,0.205624,11.347,0.473974,0.4805
47,21.5729,0.5352,0.195929,11.1991,0.469493,0.4788
48,21.8568,0.5328,-0.122404,11.6196,0.469005,0.474
49,22.1413,0.5334,-0.204037,11.7564,0.469269,0.4695
50,22.4258,0.5334,-0.18829,12.0966,0.46926,0.469
51,22.709,0.5321,-0.153253,11.7453,0.468825,0.4693
52,22.9894,0.5296,-0.120553,12.2271,0.468011,0.4693
53,23.2668,0.5266,-0.106601,12.0375,0.467055,0.4688
54,23.5404,0.5231,-0.0924952,12.2346,0.46594,0.468
55,23.8103,0.5195,-0.0891568,12.4241,0.464803,0.4671
56,24.0762,0.5157,-0.0830551,12.3832,0.4636,0.4659
57,24.3381,0.5118,-0.0796201,12.4458,0.462368,0.4648
58,24.596,0.5078,-0.0761518,12.6101,0.461104,0.4636
59,24.8497,0.5037,-0.0726499,12.7271,0.459808,0.4624
60,25.0993,0.4996,-0.0718446,12.6152,0.458515,0.4611
61,25.3446,0.4953,-0.0655756,12.9318,0.457154,0.4598
62,25.5724,0.4772,0.312049,13.1925,0.451114,0.4585
63,25.7862,0.4624,0.226996,13.3122,0.446506,0.4572
64,25.9966,0.4587,-0.0719841,13.2739,0.44559,0.4511
65,26.2083,0.4601,-0.210495,13.5394,0.446153,0.4465
66,26.42,0.4601,-0.173086,13.9971,0.446126,0.4456
67,26.6307,0.459,-0.143446,13.583,0.445757,0.4462
68,26.839,0.4565,-0.105284,14.0598,0.444939,0.4461
69,27.0444,0.4532,-0.0830797,13.8206,0.44388,0.4458
70,27.2464,0.4494,-0.0688217,14.286,0.44267,0.4449
71,27.4371,0.4367,0.174917,14.2223,0.438451,0.4439
