step:,cumulative_err:,CTE:,Steering:,Speed:,throttle:,sim_throttle:
1,0.577296,0.7598,-3.98918,0.876,0.3,0
2,1.15459,0.7598,-0.190406,2.628,0.3,0
3,1.73189,0.7598,-0.190634,3.942,0.3,0.3
4,2.30918,0.7598,-0.190862,5.256,0.3,0.3
5,2.88663,0.7599,-0.191615,6.57,0.3,0.3
6,3.46378,0.7597,-0.190293,3.1871,0.3,0.3
7,4.04031,0.7593,-0.18942,0.6433,0.3,0.3
8,4.61609,0.7588,-0.189023,1.7593,0.3,0.3
9,5.19111,0.7583,-0.189126,1.3067,0.3,0.3
10,5.76522,0.7577,-0.188703,0.6119,0.3,0.3
11,6.33827,0.757,-0.188255,0.5406,0.3,0.3
12,6.90995,0.7561,-0.187257,0.6866,0.3,0.3
13,7.47998,0.755,-0.186208,0.7515,0.3,0.3
14,8.04834,0.7539,-0.186159,0.822,0.3,0.3
15,8.61475,0.7526,-0.18506,0.9028,0.3,0.3
16,9.1789,0.7511,-0.183911,1.0354,0.3,0.3
17,9.7405,0.7494,-0.18271,1.1464,0.3,0.3
18,10.2993,0.7475,-0.18146,1.2287,0.3,0.3
19,10.8549,0.7454,-0.180158,1.3515,0.3,0.3
20,11.4071,0.7431,-0.178806,1.5286,0.3,0.3
21,11.9566,0.7413,-0.181079,1.647,0.3,0.3
22,12.5035,0.7395,-0.18085,1.7453,0.3,0.3
23,13.0443,0.7354,-0.168546,1.975,0.3,0.3
24,13.5817,0.7331,-0.177191,2.0756,0.3,0.3
25,14.1139,0.7295,-0.17001,2.2353,0.3,0.3
26,14.6402,0.7255,-0.167227,2.4364,0.3,0.3
27,15.1602,0.7211,-0.164344,2.6513,0.3,0.3
28,15.6709,0.7146,-0.152433,2.9233,0.3,0.3
29,16.1791,0.7129,-0.176222,2.9782,0.3,0.3
30,16.6822,0.7093,-0.166035,3.1028,0.3,0.3
31,17.1768,0.7033,-0.152746,3.3379,0.3,0.3
32,17.6624,0.6968,-0.14883,3.5068,0.3,0.3
33,18.1383,0.6899,-0.145312,3.7271,0.3,0.3
34,18.6009,0.6801,-0.128566,3.9842,0.3,0.3
35,19.0562,0.6748,-0.149943,4.1109,0.3,0.3
36,19.5044,0.6695,-0.148819,4.2385,0.3,0.3
37,19.9489,0.6667,-0.160819,4.302,0.3,0.3
38,20.3896,0.6638,-0.159793,4.3661,0.3,0.3
39,20.8177,0.6543,-0.124615,4.557,0.3,0.3
40,21.2415,0.651,-0.154985,4.6205,0.3,0.3
41,21.6567,0.6444,-0.137028,4.7476,0.3,0.3
42,22.0583,0.6337,-0.114043,4.9363,0.3,0.3
43,22.4457,0.6224,-0.108405,5.1246,0.3,0.3
44,22.8284,0.6186,-0.145141,5.1871,0.3,0.3
45,23.1969,0.6071,-0.103948,5.374,0.3,0.3
46,23.5605,0.603,-0.140104,5.4355,0.3,0.3
47,23.9143,0.5948,-0.117732,5.5592,0.3,0.3
48,24.2525,0.5815,-0.0890816,5.7427,0.3,0.3
49,24.5745,0.5675,-0.0822518,5.9261,0.3,0.3
50,24.8808,0.5534,-0.0783928,6.1084,0.3,0.3
51,25.1714,0.5391,-0.0739796,6.2894,0.3,0.3
52,25.4464,0.5244,-0.0684619,6.4693,0.3,0.3
53,25.7162,0.5194,-0.115868,6.529,0.3,0.3
54,25.9662,0.5,-0.0391677,6.7666,0.3,0.3
55,26.2034,0.4871,-0.0685888,6.9422,0.3,0.3
56,26.4353,0.4815,-0.103833,7.0592,0.3,0.3
57,26.6658,0.4801,-0.124627,7.2343,0.3,0.3
58,26.876,0.4585,-0.0183649,7.4073,0.3,0.3
59,27.068,0.4382,-0.0199213,7.6364,0.3,0.3
60,27.2503,0.427,-0.0627494,7.8063,0.3,0.3
61,27.4255,0.4185,-0.07425,7.9766,0.3,0.3
62,27.5939,0.4104,-0.0743481,8.1455,0.3,0.3
63,27.7526,0.3984,-0.0519676,8.3692,0.3,0.3
64,27.9061,0.3918,-0.0774352,8.4805,0.3,0.3
65,28.0519,0.3818,-0.0580497,8.6468,0.3,0.3
66,28.1951,0.3784,-0.0903132,8.7018,0.3,0.3
67,28.3303,0.3677,-0.0512485,8.8667,0.3,0.3
68,28.4568,0.3557,-0.0418552,9.0299,0.3,0.3
69,28.5748,0.3434,-0.0373833,9.1928,0.3,0.3
70,28.6899,0.3394,-0.0779851,9.2469,0.3,0.3
71,28.7997,0.3313,-0.0555595,9.3546,0.3,0.3
72,28.9067,0.3271,-0.0741076,9.4081,0.3,0.3
73,29.0081,0.3184,-0.0495281,9.5152,0.3,0.3
74,29.1037,0.3093,-0.0453459,9.6216,0.3,0.3
75,29.1965,0.3046,-0.0662623,9.6748,0.3,0.3
76,29.2837,0.2953,-0.0410259,9.7808,0.3,0.3
77,29.3681,0.2905,-0.062413,9.8336,0.3,0.3
78,29.4497,0.2857,-0.0612987,9.8863,0.3,0.3
79,29.5286,0.2808,-0.059658,9.9389,0.3,0.3
80,29.6019,0.2707,-0.0312142,10.0437,0.3,0.3
81,29.6724,0.2655,-0.0544938,10.096,0.3,0.3
82,29.7402,0.2604,-0.053797,10.1482,0.3,0.3
83,29.8026,0.2498,-0.0237219,10.2522,0.3,0.3
84,29.8623,0.2445,-0.0489703,10.3041,0.3,0.3
85,29.9196,0.2392,-0.047717,10.3558,0.3,0.3
86,29.9717,0.2283,-0.0170605,10.4589,0.3,0.3
87,30.0165,0.2116,0.016051,10.6129,0.3,0.3
88,30.0589,0.206,-0.0381108,10.6639,0.3,0.3
89,30.0992,0.2007,-0.038346,10.7144,0.3,0.3
90,30.1373,0.1952,-0.0360296,10.7652,0.3,0.3
91,30.1733,0.1897,-0.0347115,10.816,0.3,0.3
92,30.2031,0.1728,0.0264617,10.9678,0.3,0.3
93,30.2272,0.1553,0.0337901,11.1186,0.3,0.3
94,30.2466,0.1391,0.0312984,11.294,0.3,0.3
95,30.2621,0.1247,0.025861,11.0942,0.3,0.3
96,30.2745,0.1113,0.0241776,11.3167,0.3,0.3
97,30.2859,0.1068,-0.0192295,11.728,0.3,0.3
98,30.2948,0.0942,0.0243923,11.5334,0.3,0.3
99,30.3013,0.0803,0.0343432,12.0733,0.3,0.3
100,30.3057,0.0669,0.0351731,11.8228,0.3,0.3
101,30.3087,0.0546,0.0327317,12.2364,0.3,0.3
102,30.3106,0.0436,0.0289687,12.151,0.3,0.3
103,30.3122,0.04,-0.00714334,12.505,0.3,0.3
104,30.3131,0.0301,0.0268226,12.2781,0.3,0.3
105,30.3135,0.0196,0.0324417,12.7102,0.3,0.3
106,30.3136,0.0095,0.0329639,12.4874,0.3,0.3
107,30.3136,0.0064,-0.00126302,12.9771,0.3,0.3
108,30.3136,-0.0021,0.0278626,12.6526,0.3,0.3
109,30.3138,-0.0107,0.0305158,13.2646,0.3,0.3
110,30.3141,-0.0187,0.0295214,12.9306,0.3,0.3
111,30.3148,-0.0256,0.0257541,13.5405,0.3,0.3
112,30.3157,-0.0314,0.0217135,13.2957,0.3,0.3
113,30.3171,-0.0365,0.0194995,13.7961,0.3,0.3
114,30.3187,-0.0408,0.0165867,13.4855,0.3,0.3
115,30.3207,-0.0446,0.0150501,14.1043,0.3,0.3
116,30.323,-0.0478,0.0128644,13.7836,0.3,0.3
117,30.3256,-0.0504,0.0105296,14.3478,0.3,0.3
118,30.3283,-0.0524,0.00804528,13.9753,0.3,0.3
119,30.3312,-0.054,0.00646148,14.6541,0.3,0.3
120,30.3342,-0.055,0.00372798,14.3292,0.3,0.3
121,30.3373,-0.0556,0.00189466,14.8395,0.3,0.3
122,30.3404,-0.0557,-0.00056363,14.4893,0.3,0.3
